Tarih,Aşama,Kanal,Özet,Telegram’a Gönderildi mi?,Prompt Tokens,Completion Tokens,Toplam Tokens
2025-06-02 09:40,Final,ateobreaking,"Поезда возобновили движение по участку ж/д путей, где был подорван мост в Брянской области.",Evet,137,30,167
2025-06-02 09:45,Translate & Filter,ww3media,"🚨Ege Ordusu Hava Savunma Tabur Komutanlığı, hava hedeflerine karşı atış tatbikatı gerçekleştirdi.",Hayır,139,2,141
2025-06-02 09:45,Translate & Filter,ww3media,"🔴Millî Savunma Bakanı Yaşar Güler:

Hava Kuvvetlerimizi en gelişmiş silahlarla donatmaya devam edece",Hayır,143,2,145
2025-06-02 09:45,Translate & Filter,ateobreaking,"Случаев завоза вируса Коксаки в РФ не зарегистрировано, сообщили в  Роспотребнадзоре.",Hayır,137,2,139
2025-06-02 09:50,Translate & Filter,ww3media,"🚨Ege Ordusu Hava Savunma Tabur Komutanlığı, hava hedeflerine karşı atış tatbikatı gerçekleştirdi.",Hayır,139,2,141
2025-06-02 09:50,Translate & Filter,ww3media,"🔴Millî Savunma Bakanı Yaşar Güler:

Hava Kuvvetlerimizi en gelişmiş silahlarla donatmaya devam edece",Hayır,143,2,145
2025-06-02 09:50,Final,ateobreaking,"**Украинская делегация в Стамбуле встретилась с представителями Германии, Италии и Британии. **

Сто",Evet,156,42,198
2025-06-02 09:50,Final,ateobreaking,"Делегация РФ прибыла во дворец Чираган в Стамбуле, где планируются переговоры между Россией и Украин",Evet,148,30,178
2025-06-02 09:51,Final,ateobreaking,Глава МИД Турции Хакан Фидан и руководитель турецкой разведки Ибрагим Калын прибыли во дворец Чирага,Evet,155,42,197
2025-06-02 09:51,Translate & Filter,ateobreaking,"Случаев завоза вируса Коксаки в РФ не зарегистрировано, сообщили в  Роспотребнадзоре.",Hayır,137,2,139
2025-06-02 09:56,Translate & Filter,ww3media,"🔴Kıtlıkla boğuşan Gazze’den yürek burkan görüntüler…

Filistinli bir çocuk, dağıtım esnasında yere d",Hayır,154,2,156
2025-06-02 09:56,Translate & Filter,ww3media,"🚨Ege Ordusu Hava Savunma Tabur Komutanlığı, hava hedeflerine karşı atış tatbikatı gerçekleştirdi.",Hayır,139,2,141
2025-06-02 09:56,Translate & Filter,ateobreaking,"Случаев завоза вируса Коксаки в РФ не зарегистрировано, сообщили в  Роспотребнадзоре.",Hayır,137,2,139
2025-06-02 10:01,Translate & Filter,ww3media,"🔴Kıtlıkla boğuşan Gazze’den yürek burkan görüntüler…

Filistinli bir çocuk, dağıtım esnasında yere d",Hayır,154,2,156
2025-06-02 10:01,Translate & Filter,ww3media,"🚨Ege Ordusu Hava Savunma Tabur Komutanlığı, hava hedeflerine karşı atış tatbikatı gerçekleştirdi.",Hayır,139,2,141
2025-06-02 10:01,Translate & Filter,ateobreaking,"Случаев завоза вируса Коксаки в РФ не зарегистрировано, сообщили в  Роспотребнадзоре.",Hayır,137,2,139
2025-06-02 10:06,Final,ww3media,"🔴Türkiye ile Finlandiya arasında savunma sanayii iş birliği mutabakatı imzalandı.

▪️SSB Başkanı Hal",Evet,193,61,254
2025-06-02 10:08,Final,ww3media,"🔴Kıtlıkla boğuşan Gazze’den yürek burkan görüntüler…

Filistinli bir çocuk, dağıtım esnasında yere d",Evet,154,34,188
2025-06-02 10:08,Final,ateobreaking,"Турецкая сторона потребовала от журналистов, освещающих российско-украинские переговоры, сдать на хр",Evet,143,33,176
2025-06-02 10:14,Final,ww3media,"🔴İsrail ordusu, Gazze’nin Huzaa kasabasını tamamen yıktı.",Evet,132,28,160
2025-06-02 10:20,Final,conflict_tr,🔴 Rusya ile Ukrayna arasındaki müzakerelerin ikinci turu birazdan İstanbul’da başlayacak.,Evet,132,35,167
2025-06-02 10:20,Final,ww3media,🔴Çırağan Sarayı’nda bir araya gelen Rus ve Ukrayna heyetlerinin birazdan görüşmelere başlaması bekle,Evet,141,36,177
2025-06-02 10:25,Final,ateobreaking,"Внеплановые учения по гражданской обороне начались в российском Белгороде, сообщил губернатор Гладко",Evet,136,34,170
2025-06-02 10:31,Final,ateobreaking,"**Великобритания не может игнорировать угрозу, которую представляет Россия.** Об этом заявил премьер",Evet,183,51,234
2025-06-02 10:36,Final,ww3media,"🔴Ukrayna heyetinin bir kısmı, müzakerelere askeri üniformayla katıldı.",Evet,135,25,160
2025-06-02 10:57,Final,conflict_tr,"🔴 PKK'lı Alman vatandaşı Kelly Freygang, Irak'ın kuzeyinde TSK/MİT tarafından etkisiz hale getirildi",Evet,142,40,182
2025-06-02 11:13,Final,ateobreaking,Премьер Индии Моди может впервые за шесть лет пропустить саммит G7 — из-за проблем в отношениях с Ка,Evet,147,42,189
2025-06-02 11:28,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 11:33,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 11:38,Final,ww3media,"🚨Üst düzey İranlı yetkili:

“ABD’nin sunduğu nükleer teklif tamamen tek taraflı ve dengesizdir. Bu d",Evet,185,51,236
2025-06-02 11:39,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 11:44,Final,conflict_tr,"🔴 İngiliz Başbakanı Keir Starmer:

Dünya değişti ve savunma ve güvenlikte yeni bir döneme girdik.

Ç",Evet,195,69,264
2025-06-02 11:44,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 11:49,Final,ateobreaking,⚡Российско-украинские переговоры в Стамбуле начались,Evet,128,28,156
2025-06-02 11:50,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 11:55,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:00,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:05,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:10,Final,ateobreaking,Фото со второго раунда переговоров России и Украины в Стамбуле публикует МИД Турции,Evet,131,34,165
2025-06-02 12:11,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:26,Final,ww3media,"🚨İngiltere Başbakanı: 

“Savaşa hazır durumuna geçiyoruz.”",Evet,129,25,154
2025-06-02 12:27,Final,ateobreaking,"⚡**СМИ публикуют полную версию меморандума, переданного Украиной России

**Перевод на русский:**

**",Evet,1104,65,1169
2025-06-02 12:27,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:32,Final,ww3media,"🔴İstanbul’daki müzakerelerde Rus ve Ukrayna heyetleri birbirleriyle el sıkışmadı.

-TASS",Evet,137,27,164
2025-06-02 12:33,Final,ww3media,"🚨Ukrayna Devlet Başkanı Zelenskiy:

“İstanbul’daki görüşmelerden somut sonuçlar bekliyoruz; ateşkes,",Evet,163,51,214
2025-06-02 12:33,Final,ateobreaking,"⚡**СМИ публикуют полную версию меморандума, переданного Украиной России

**Перевод на русский:**

**",Evet,1112,61,1173
2025-06-02 12:33,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:38,Translate & Filter,ww3media,🚨Etna Yanardağının patladığı ilk anlar.,Hayır,124,2,126
2025-06-02 12:38,Translate & Filter,ww3media,🚨İtalya’daki Etna yanardağı patladı.,Hayır,124,2,126
2025-06-02 12:38,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:44,Translate & Filter,ww3media,🚨Etna Yanardağının patladığı ilk anlar.,Hayır,124,2,126
2025-06-02 12:44,Translate & Filter,ww3media,🚨İtalya’daki Etna yanardağı patladı.,Hayır,124,2,126
2025-06-02 12:44,Translate & Filter,ateobreaking,"**На Википедию подали в суд за «пропаганду педофилии»**

В Таганский суд Москвы поступили материалы ",Hayır,171,2,173
2025-06-02 12:49,Translate & Filter,ww3media,🚨Cumhurbaşkanı Erdoğan liderliğindeki Kabine Toplantısı başladı.,Hayır,127,2,129
2025-06-02 12:49,Translate & Filter,ww3media,🚨Etna Yanardağının patladığı ilk anlar.,Hayır,124,2,126
2025-06-02 12:49,Translate & Filter,ww3media,🚨İtalya’daki Etna yanardağı patladı.,Hayır,124,2,126
2025-06-02 12:49,Final,ateobreaking,Пресс-подход российской делегации в Стамбуле планируется по окончании переговоров — после заявления ,Evet,139,35,174
2025-06-02 12:54,Final,conflict_tr,🔴 Cumhurbaşkanı Erdoğan başkanlığında kabine toplantısı başladı.,Evet,125,18,143
2025-06-02 12:54,Translate & Filter,ww3media,🚨Cumhurbaşkanı Erdoğan liderliğindeki Kabine Toplantısı başladı.,Hayır,127,2,129
2025-06-02 12:54,Translate & Filter,ww3media,🚨Etna Yanardağının patladığı ilk anlar.,Hayır,124,2,126
2025-06-02 12:55,Final,ww3media,🚨İtalya’daki Etna yanardağı patladı.,Evet,124,15,139
2025-06-02 13:02,Final,ww3media,"🔴İsrail ordusu, Gazze’nin kuzeyindeki evleri sistematik bir şekilde bombalarla yıkmaya devam ediyor.",Evet,138,29,167
2025-06-02 13:02,Final,ww3media,🚨Cumhurbaşkanı Erdoğan liderliğindeki Kabine Toplantısı başladı.,Evet,127,20,147
2025-06-02 13:02,Translate & Filter,ww3media,🚨Etna Yanardağının patladığı ilk anlar.,Hayır,124,2,126
2025-06-02 13:02,Final,ateobreaking,"СМИ со ссылкой на источники сообщают, что переговоры России-Украины завершились",Evet,129,31,160
2025-06-02 13:08,Final,conflict_tr,"🔴 Rusya-Ukrayna zirvesi sona erdi.

-TASS",Evet,125,25,150
2025-06-02 13:08,Translate & Filter,ww3media,"🔴Irak'ta küçük bir çocuğa başıboş sokak köpekleri saldırdı.  

Küçük çocuk Kelime-i şehadet getirdiğ",Hayır,154,2,156
2025-06-02 13:13,Translate & Filter,ww3media,"🔴Irak'ta küçük bir çocuğa başıboş sokak köpekleri saldırdı.  

Küçük çocuk Kelime-i şehadet getirdiğ",Hayır,154,2,156
2025-06-02 13:18,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:18,Translate & Filter,ww3media,"🔴Irak'ta küçük bir çocuğa başıboş sokak köpekleri saldırdı.  

Küçük çocuk Kelime-i şehadet getirdiğ",Hayır,154,2,156
2025-06-02 13:18,Final,ateobreaking,"Делегации России и Украины ушли на обед после окончания встречи, сообщает представитель МИД Турции",Evet,131,39,170
2025-06-02 13:24,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:24,Translate & Filter,ww3media,"🔴Irak'ta küçük bir çocuğa başıboş sokak köpekleri saldırdı.  

Küçük çocuk Kelime-i şehadet getirdiğ",Hayır,154,2,156
2025-06-02 13:24,Final,ateobreaking,"Росфинмониторинг внес в перечень «экстремистов и террористов» публициста Анатолия Несмияна, известно",Evet,155,42,197
2025-06-02 13:24,Final,ateobreaking,"Третий раунд переговоров РФ и Украины будет в течение ""какого-то времени"" — сообщает пропагандистски",Evet,138,40,178
2025-06-02 13:30,Final,ww3media,"🚨Alman vatandaşı PKK’lı terörist Kelly Freygang, 29 Mayıs’ta TSK ve MİT’in ortak operasyonuyla Tepe ",Evet,156,44,200
2025-06-02 13:30,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:30,Translate & Filter,ww3media,"🔴Irak'ta küçük bir çocuğa başıboş sokak köpekleri saldırdı.  

Küçük çocuk Kelime-i şehadet getirdiğ",Hayır,154,2,156
2025-06-02 13:35,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:35,Final,ateobreaking,❗️Россия и Украина на переговорах в Стамбуле обменялись документами об урегулировании и готовят ново,Evet,148,41,189
2025-06-02 13:41,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:46,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:51,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 13:56,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 14:02,Translate & Filter,ww3media,"🔴Mansur Yavaş, Ekrem İmamoğlu'nu ziyaret etti:

Morali gayet iyi. 

Suçsuzluğunun verdiği bir özgüve",Hayır,150,2,152
2025-06-02 14:02,Final,ateobreaking,"⚡**Россия не согласилась на прекращение огня и встречу лидеров, заявил Умеров. **

По его словам, до",Evet,161,49,210
2025-06-02 14:07,Final,ww3media,"🚨Ukrayna heyetinden Kyslytsya: 

Görüşmelerimizi somut insani bazı sonuçlar elde edebilecek bir nokt",Evet,147,35,182
2025-06-02 14:18,Final,ww3media,"🔴Rus kaynakları: 

""Rusya ve Ukrayna, tüm ağır hasta savaş esirleri ve 25 yaş altındaki kişilerin ta",Evet,147,37,184
2025-06-02 14:24,Final,ateobreaking,"На новых переговорах Россия продолжала требовать полного вывода украинских войск с территорий, на ко",Evet,157,54,211
2025-06-02 14:24,Final,ateobreaking,"Российская и украинская делегации не пожали друг другу руки и не предложили ничего, что могло бы сви",Evet,162,48,210
2025-06-02 14:29,Final,ateobreaking,"РФ в одностороннем порядке передает Украине 6 тыс. замороженных тел военнослужащих, заявил Мединский",Evet,137,39,176
2025-06-02 14:35,Final,ww3media,🔴Yeni kurulan Suriye ordusu birliğine çoğunluğu Uygurlardan oluşan yaklaşık 3.500 savaşçı katılacak.,Evet,143,32,175
2025-06-02 14:35,Final,ateobreaking,⚡Обмен пленными между Киевом и Москвой пройдет по формуле 1000 на 1000,Evet,132,39,171
2025-06-02 14:41,Final,ateobreaking,"Переговоры России и Украины велись на русском языке, подтвердил Мединский",Evet,127,33,160
2025-06-02 14:46,Final,ateobreaking,Турция после переговоров РФ и Украины в Стамбуле планирует выступить с инициативами по организации с,Evet,145,35,180
2025-06-02 14:47,Final,ateobreaking,"Меморандум был передан украинской стороне, в нем описаны шаги как достичь мира — Мединский",Evet,134,32,166
2025-06-02 14:57,Final,ateobreaking,Экс-глава МИД Германии Анналена Бербок избрана Президентом Генассамблеи ООН,Evet,133,33,166
2025-06-02 15:03,Final,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️İki taraf için de benim en büyük arzum gerek sayın Putin'i gerek Zelensk",Evet,172,52,224
2025-06-02 15:03,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Küresel zorbalığa dönüşen cinsiyetsizleştirme politikalarıyla mücadelemi",Hayır,149,2,151
2025-06-02 15:03,Final,conflict_tr,"🔴 İstanbul’daki Rus heyetinin Lideri Vladimir Medinsky:

▪️Ukraynalılar BM’de bir buçuk milyon Ukray",Evet,206,58,264
2025-06-02 15:04,Final,conflict_tr,"🔴 Ukrayna Dışişleri Bakanı Yardımcısı Kyslytsya:

""Rusya, ön koşulsuz ateşkesi reddetmeye devam ediy",Evet,146,36,182
2025-06-02 15:04,Final,ww3media,"🔴Cumhurbaşkanı Erdoğan:

Trump'ın dönüm noktası niteliğindeki açıklamaları sonrası Avrupa ülkelerini",Evet,156,33,189
2025-06-02 15:09,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:09,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Küresel zorbalığa dönüşen cinsiyetsizleştirme politikalarıyla mücadelemi",Hayır,149,2,151
2025-06-02 15:09,Final,ww3media,"🔴Cumhurbaşkanı Erdoğan:

Benim en büyük arzum gerek Putin'i gerekse Zelenskiy'i İstanbul veya Ankara",Evet,153,40,193
2025-06-02 15:10,Final,ateobreaking,Турецкая сторона все время присутствовала на переговорах РФ и Украины в Стамбуле — ТАСС,Evet,134,33,167
2025-06-02 15:15,Final,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Türkiye barış diplomasisinin ana merkezlerinden biri haline dönüşüyor.",Evet,133,25,158
2025-06-02 15:16,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:16,Final,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Küresel zorbalığa dönüşen cinsiyetsizleştirme politikalarıyla mücadelemi",Evet,149,31,180
2025-06-02 15:16,Final,ww3media,"🔴Cumhurbaşkanı Erdoğan:

21 Mart'ın bundan sonra Türk Devletleri Teşkilatı Nevruz Anma ve Kutlama Gü",Evet,151,41,192
2025-06-02 15:21,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:22,Final,ateobreaking,"Губернатор армянского Сюника заявил, что Азербайджан периодически обстреливает территорию страны",Evet,137,34,171
2025-06-02 15:27,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:32,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:37,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:42,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:47,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:47,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 15:47,Final,ateobreaking,Российская делегация покинет Стамбул в понедельник — РИА Новости,Evet,128,26,154
2025-06-02 15:53,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:53,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 15:58,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 15:58,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:03,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:03,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:03,Translate & Filter,ateobreaking,"Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во время налета БПЛА.",Hayır,140,2,142
2025-06-02 16:08,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:08,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:08,Translate & Filter,ateobreaking,"Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во время налета БПЛА.",Hayır,140,2,142
2025-06-02 16:13,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:13,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:13,Final,ateobreaking,"Меморандум РФ — это ""совсем не ультиматум"", подчеркнул Мединский",Evet,130,28,158
2025-06-02 16:13,Translate & Filter,ateobreaking,"Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во время налета БПЛА.",Hayır,140,2,142
2025-06-02 16:18,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:18,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:18,Translate & Filter,ateobreaking,"Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во время налета БПЛА.",Hayır,140,2,142
2025-06-02 16:23,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:23,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:23,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:29,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:29,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:29,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:34,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:34,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:34,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:39,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:39,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:39,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:44,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:44,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:44,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:49,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:49,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:49,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:54,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:54,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:54,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 16:59,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 16:59,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 16:59,Translate & Filter,ateobreaking,"Пропагандист Владимир Соловьев потребовал расстрелять срочника, который записал видео с аэродрома во",Hayır,146,2,148
2025-06-02 17:04,Translate & Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında müjdelerimiz olacak.""",Hayır,130,2,132
2025-06-02 17:04,Translate & Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Enerjide çok yakında vatandaşlarımıza müjdelerimiz olacak.""",Hayır,134,2,136
2025-06-02 17:04,Final,ateobreaking,"❗️**Руководитель Офиса президента Украины** Андрей Ермак: Россияне делают все, чтобы не прекращать о",Evet,161,54,215
2025-06-02 17:10,Final,conflict_tr,"🔴 Dışişleri Bakanı Hakan Fidan, BM Genel Sekreteri’nin Kıbrıs Şahsi Temsilcisi María Angela Holguín’",Evet,150,38,188
2025-06-02 17:11,Final,conflict_tr,"🔴 ABD'nin Ankara Büyükelçisi Tom Barrack:

▪️Ortadoğu'daki tarihsel anlaşmazlıklar ve karışıklıklar,",Evet,162,42,204
